,title,text
810,ENISA,"ENISA (European Union Agency for Cybersecurity) - это агентство Европейского союза, которое занимается поддержкой и укреплением кибербезопасности в Европе. Основная цель ENISA — помочь государствам ЕС в укреплении и защите их информационных систем и сетей от киберугроз. Для этого ENISA предоставляет советы, рекомендации и техническую поддержку в области кибербезопасности. Также агентство оказывает помощь в разработке и реализации стандартов и методов для защиты критически важной информации и инфраструктуры."
811,Enlisted,"Enlisted - это многопользовательская онлайн-игра, посвященная сражениям Второй мировой войны. Разработанная компанией Darkflow Software, она позволяет игрокам вступить в роли солдат и командиров различных национальностей, таких как США, Германия, СССР и другие. В игре представлены различные исторические кампании и битвы, отражающие ключевые события Второй мировой войны. Игроки могут выбрать свою сторону конфликта и участвовать в реалистичных сражениях, где важны тактика, сотрудничество и стратегическое мышление."
812,Entity List,"Entity List - это перечень компаний и организаций, которые действуют вопреки интересам внешней политики и национальной безопасности США. Этот список составляет Министерство торговли США. Компании и организации, включенные в этот список, подвергаются специальным требованиям лицензирования для экспорта, реэкспорта и/или передачи (внутри страны) определенных товаров. Список обновляется периодически и публикуется в Федеральном реестре. Entity List включает компании и организации из разных стран, в том числе из Китая, России, Ирана и Турции."
813,Entra,"Microsoft Entra — это продуктовая линейка от Microsoft, включающая в себя решения для управления идентификацией и доступом. Это инструменты, которые помогают организациям обеспечивать безопасность и управлять цифровыми идентификаторами пользователя, гарантируя, что правильные люди имеют доступ к соответствующим ресурсам в правильное время и по правильным причинам. Microsoft Entra включает в себя услуги, такие как управление доступом и идентификацией, административные порталы и функции защиты от рисков входа в систему, облегчая управление безопасностью для облачных приложений."
814,EnvatoMarket,"Envato Market - это онлайн-платформа, предоставляющая доступ к широкому спектру креативных ресурсов и услуг. Она включает в себя разделы, такие как ThemeForest (шаблоны для веб-сайтов), CodeCanyon (скрипты и плагины), VideoHive (видеоролики и анимации) и AudioJungle (музыкальные треки и звуковые эффекты). Envato Market обеспечивает креативных профессионалов и предпринимателей готовыми решениями для различных проектов и позволяет им приобретать и продавать цифровые товары и услуги в мировом масштабе."
815,EOL,"End of Life (EOL) в контексте технологий и программного обеспечения означает стадию, когда продукт или компонент перестает получать поддержку от производителя. Это может включать прекращение обновлений безопасности, техническую поддержку, а также обновления функционала. После достижения EOL устройство или программное обеспечение становится особенно уязвимым для киберрисков, поскольку найденные в ПО уязвимости больше не исправляются. Это также может означать, что данный продукт больше не продаётся или не производится."
816,EPA,"EPA (Environmental Protection Agency, Агентство по охране окружающей среды США) — это агентство правительства США, созданное в 1970 году для защиты здоровья людей и окружающей среды. Основная его задача — разработка и применение законов и нормативов по охране окружающей среды. EPA занимается широким спектром вопросов, включая контроль за качеством воздуха, охрану водных ресурсов, регулирование выбросов промышленных предприятий, обработку отходов и утилизацию мусора, а также защиту от химических и радиационных загрязнений. Агентство проводит научные исследования, оценку рисков для здоровья и экологии, а также информирует общественность и поддерживает образовательные программы по экологическим вопросам."
817,EPFL,"EPFL (Ecole polytechnique fédérale de Lausanne) - это федеральный политехнический университет, расположенный в Лозанне, Швейцария. EPFL является одним из ведущих технических университетов в мире. Университет предлагает широкий спектр образовательных программ, включая бакалавриат, магистратуру и докторскую степень. EPFL специализируется в области наук о жизни, инженерии, информатики, материаловедения, энергетики, робототехники и других технических дисциплин. Университет известен своим активным исследовательским подходом. Здесь регулярно ведутся передовые исследования в различных областях."
818,Epiq Global,"Epiq Global — это международная компания, специализирующаяся на предоставлении интегрированных услуг в области права, финансов и корпоративных решений. Они предлагают широкий спектр услуг для поддержки юридических процессов, финансового управления и решений в области корпоративного управления. Epiq Global обслуживает различные отрасли, включая юридическую, финансовую, страховую, технологическую и телекоммуникационную сферы. Компания помогает клиентам справляться с сложными задачами, такими как судебные процессы, реструктуризация бизнеса, управление документами, арбитражные споры, информационная безопасность и многое другое."
819,EPMM,"Endpoint Manager Mobile (EPMM) - это программное обеспечение для управления мобильными устройствами, разработанное компанией Ivanti. Оно позволяет IT-специалистам устанавливать политики для мобильных устройств, приложений и контента. Этот продукт обеспечивает возможности управления мобильными устройствами, мобильными приложениями и мобильным контентом. EPMM также позволяет получать отчёты о состоянии и использовании мобильных устройств в сети."
820,EPP,"Endpoint Protection (EPP) или защита конечных точек - это подход к обеспечению безопасности информационных систем, который сфокусирован на защите конечных устройств (конечных точек) в целевой сети. Конечные точки могут включать персональные компьютеры, ноутбуки, мобильные устройства и другие устройства, подключенные в одну сеть Цель EPP - обнаружение, предотвращение и реагирование на различные угрозы и атаки, направленные на конечные точки. Для этого EPP использует комплексный набор технологий, включая антивирусные программы, брандмауэры, инструменты обнаружения вторжений (IDS), защиту от вредоносного программного обеспечения и другие механизмы безопасности. EPP-решения обеспечивают непрерывный мониторинг и защиту конечных точек от различных угроз, включая вредоносное программное обеспечение, вирусы, троянские программы, шпионское программное обеспечение и другие виды злонамеренных программ. Они также могут обнаруживать подозрительную активность, такую как несанкционированный доступ, аномальное поведение или попытки вторжения, и принимать соответствующие меры для предотвращения атак."
821,EPYC,"EPYC - это бренд серверных процессоров, разработанных и производимых компанией AMD (Advanced Micro Devices). Они используют архитектуру x86 и производятся на технологии наноструктурной транзисторности. EPYC процессоры предназначены для использования в серверах и дата-центрах и предлагают высокую производительность, многоядерную обработку и большое количество логических ядер. Они также имеют высокую память, широкую шину данных"
822,Equifax,"Equifax Ltd. — это одно из крупнейших кредитных бюро в мире, являющееся дочерней компанией Equifax Inc., базирующейся в США. Основной деятельностью Equifax Ltd. является предоставление кредитных отчётов, анализ потребительской кредитной истории и предоставление различных услуг в области финансовой аналитики. Эта компания играет важную роль в кредитном процессе, помогая кредиторам оценить риски и принимать обоснованные решения о выдаче кредитов. В 2017 году Equifax Ltd. стала широко известна из-за крупнейшей в истории утечки данных, затронувшей миллионы пользователей в разных странах."
823,Ernst and Young,"Ernst & Young, известная также как EY, является одной из крупнейших международных профессиональных аудиторских и консалтинговых компаний. Она была основана в 1989 году в результате слияния компаний Ernst & Whinney и Arthur Young & Co. Компания предоставляет широкий спектр услуг в области аудита, налогообложения, консалтинга и сопутствующих услуг для клиентов по всему миру. EY работает с компаниями различных отраслей, включая финансы, технологии, энергетику, здравоохранение и другие. Она предлагает услуги аудита, включая проверку финансовой отчетности и систем внутреннего контроля. Компания также оказывает помощь в налоговом планировании и соблюдении налоговых законов."
824,ERP,"Enterprise Resource Planning, или ERP, представляет собой интегрированную систему управления предприятием, разработанную для оптимизации и автоматизации бизнес-процессов в организации. Она объединяет в себе различные функциональные области, такие как финансы, управление персоналом, производство, логистика, продажи и маркетинг, в одну централизованную систему. Основная цель ERP состоит в том, чтобы обеспечить компании полный контроль и видимость над ее операциями. С помощью ERP организации могут улучшить планирование, управление запасами, учет финансов, управление заказами и клиентским обслуживанием. Она также способствует сбору и анализу данных, что позволяет принимать более обоснованные решения на основе информации о состоянии бизнеса."
825,ESA,"Европейское космическое агентство (European Space Agency, ESA) — межправительственная организация, задачей которой является исследование и использование космоса в интересах Европы. С момента своего основания в 1975 году ESA активно занимается разработкой и реализацией различных космических программ, включая исследование космоса, земного шара, разработку ракет-носителей и спутниковой связи."
826,eSentire,"eSentire - это компания, специализирующаяся на кибербезопасности и предоставляющая услуги мониторинга и защиты от киберугроз для организаций. Она предлагает инновационные решения для обнаружения и предотвращения кибератак, а также мониторит сетевую активность с целью выявления угроз и реагирования на них в реальном времени. Компания специализируется на защите от сложных киберугроз, таких как атаки с использованием вредоносных программ и угрозы со стороны злоумышленников. Её услуги помогают организациям обеспечить безопасность своих данных и сетей в современной цифровой среде."
827,ESET,"ESET - это международная компания, специализирующаяся на разработке антивирусных программ и решений для компьютерной безопасности. Компания была основана в Словакии в 1992 году. Её продукты включают антивирусное программное обеспечение, антиспам и защиту от вредоносных программ для компьютеров и мобильных устройств. ESET известна своими продуктами, такими как NOD32 и Smart Security, которые предлагают надежную защиту от вирусов и прочих угроз в сети Интернет. Компания имеет множество клиентов по всему миру и придерживается высоких стандартов безопасности в своих продуктах."
828,ESG,"Email Security Gateway (ESG) - это система, обеспечивающая защиту электронной почты от различных угроз и вредоносных программ. ESG работает как прокси-сервер между внешними и внутренними почтовыми серверами организации, фильтруя, анализируя и блокируя нежелательные сообщения, спам, вирусы, фишинговые атаки и другие виды вредоносных писем. Цель ESG - защитить организацию от утечки конфиденциальных данных, предотвратить атаки на сетевую инфраструктуру и обеспечить безопасную и надежную коммуникацию через электронную почту. Данная система также помогает предотвратить угрозы, связанные с социальной инженерией, вредоносными вложениями и ссылками, а ещё сокращает объём спама, снижая риск фишинговых атак и потенциальных угроз безопасности, связанных с электронной почтой."
829,ESLint,"ESLint — это инструмент статического анализа кода для идентификации и исправления проблем в коде JavaScript, основанных на настраиваемых правилах. ESLint помогает разработчикам следовать определенному стилю кодирования и избегать распространенных ошибок. Плагины для ESLint позволяют расширить базовый функционал инструмента, добавляя новые правила или адаптируя его для работы с различными библиотеками или фреймворками."
830,ESP,"EFI System Partition (ESP) - это специальный раздел на физическом хранилище компьютера, необходимый для загрузки операционной системы в системах с технологией EFI (Extensible Firmware Interface), такой как UEFI (Unified Extensible Firmware Interface). ESP содержит загрузочные файлы, включая загрузчики (bootloaders), файлы конфигурации и приложения, связанные с EFI. Этот раздел играет ключевую роль в процессе загрузки компьютера и обеспечивает корректную работу системы."
831,ESRB,"ESRB (Entertainment Software Rating Board) — это организация, которая занимается классификацией и рейтингом компьютерных и видеоигр в Северной Америке. Она была создана в 1994 году и имеет цель помогать родителям и покупателям принимать осознанные решения о покупке и использовании игр. Рейтинги ESRB помогают родителям контролировать игровой контент, чтобы он соответствовал уровню зрелости и возрасту их детей, а также позволяют взрослым выбирать игры, соответствующие их собственным предпочтениям и ожиданиям."
832,ESRI,"ESRI (Environmental Systems Research Institute) — это американская компания, которая специализируется на создании программного обеспечения для географических информационных систем (ГИС). Компания была основана в 1969 году и с тех пор стала одной из ведущих в области ГИС. Наиболее известный продукт Esri — это ArcGIS, мощная и гибкая платформа для работы с географическими данными. Она позволяет пользователям собирать, хранить, обрабатывать, анализировать и визуализировать географическую информацию. ArcGIS используется в широком спектре отраслей, от городского планирования и окружающей среды до обороны и национальной безопасности. Esri также активно занимается исследовательской и образовательной деятельностью, оказывая поддержку учебным заведениям, неправительственным организациям и исследовательским группам по всему миру."
833,Estes Express Lines,"Estes Express Lines — это американская транспортная компания, специализирующаяся на предоставлении услуг по грузоперевозкам. Основана в 1931 году, компания имеет долгую историю и является одним из крупнейших частных перевозчиков в США. Базируется в Ричмонде, штат Виргиния. За время своего существования Estes Express Lines заслужила репутацию надёжного и эффективного перевозчика."
834,ESXi,"VMware ESXi (также известная как VMware vSphere Hypervisor) - это гипервизорная платформа, разработанная компанией VMware. Она позволяет виртуализировать физические серверы и создавать виртуальные машины, которые могут работать независимо друг от друга на одном физическом сервере. ESXi представляет из себя «тонкий гипервизор». Платформа имеет минимальную операционную систему, которая запускается непосредственно на физическом сервере и предоставляет основные функции виртуализации. ESXi обеспечивает выделение ресурсов, управление памятью, управление процессором и ввод-выводом для виртуальных машин. VMware ESXi широко используется в корпоративной среде для создания и управления виртуальными инфраструктурами. Она предлагает функциональность, такую как миграция виртуальных машин между физическими серверами, управление резервированием ресурсов, сетевую виртуализацию и многое другое. ESXi также интегрируется с другими продуктами VMware, такими как VMware vCenter Server, для централизованного управления и мониторинга виртуальных сред."
835,ETH,Эфир (ETH) является собственной валютой Ethereum и в настоящее время является второй по величине криптовалютой по объему.
836,Ethereum,"Ethereum представляет собой децентрализованную глобальную программную платформу, основанную на технологии блокчейн. Ethereum наиболее известен своей собственной криптовалютой - эфиром или ETH. Ethereum может использоваться кем угодно для создания любой защищенной цифровой технологии. У него есть токен, предназначенный для использования в сети блокчейна, но он также может использоваться участниками в качестве метода оплаты работы, выполненной в блокчейне."
837,Ethernet,"Наиболее распространенная технология LAN. Согласно стандарту IEEE 802.3, локальная сеть Ethernet обычно использует коаксиальный кабель или специальные виды витой пары."
838,ETSI,"Европейский институт стандартов телекоммуникаций (European Telecommunications Standards Institute, ETSI) — это независимая, некоммерческая организация, основанная в 1988 году, которая разрабатывает стандарты для информационных и коммуникационных технологий в Европе. ETSI активно сотрудничает с мировыми организациями и группами по стандартизации и вносит значительный вклад в разработку мировых стандартов в области телекоммуникаций, радиокоммуникаций, и информационных технологий."
839,ETW,"Event Tracing for Windows (ETW) — это встроенная в операционную систему Windows технология отслеживания событий, которая обеспечивает детализированную запись событий и действий, происходящих в системе. ETW предоставляет интерфейс для сбора, записи и анализа событий от различных источников, таких как ядро операционной системы, приложения и службы."
840,EUIPO,"EUIPO (Европейское учреждение интеллектуальной собственности) — это агентство Европейского союза, специализирующееся на вопросах интеллектуальной собственности. Оно занимается охраной и регистрацией марок и дизайнов, а также предоставляет информацию и услуги в области интеллектуальной собственности для компаний и частных лиц. EUIPO играет важную роль в поддержке инноваций и защите прав интеллектуальной собственности в странах-членах ЕС, содействуя развитию бизнеса и конкурентоспособности."
841,EUROSTAT,"EUROSTAT - это статистическое управление Европейской комиссии, которое собирает, анализирует и публикует статистические данные о странах-членах Европейского союза (ЕС). Его задачей является предоставление надёжной и сравнимой статистики о различных аспектах экономики, социальных явлениях, окружающей среде и других областях в ЕС. EUROSTAT собирает информацию от национальных статистических органов и создаёт стандартизированные данные, которые помогают в принятии решений, разработке политики и мониторинге процессов в Европейском союзе."
842,EUV,"EUV-литография (Extreme Ultra-Violet Lithography) это технология изготовления микроэлектроники, которая использует экстремально короткую длину волны в диапазоне 13.5-14 nm для экспозиции матрицы на полупроводниковый слой. EUV-литография позволяет создавать менее тонкие и более точные элементы чем другие технологии литографии, что важно для разработки более мощных и маленьких микроэлектронных устройств. EUV-литография также сложна в исполнении и требует специальных условий, таких как высокая температура и вакуум."
843,EV,"EV (Extended Validation) — это тип сертификата SSL, который предоставляет наивысший уровень проверки идентификации. Эти сертификаты используются для подтверждения подлинности веб-сайта и организации, которая его владеет. Процесс получения EV-сертификата включает в себя строгую проверку со стороны центра сертификации (Certificate Authority, CA). В отличие от стандартных SSL-сертификатов, EV-сертификаты требуют более тщательной проверки, включая юридическую, физическую и операционную подлинность заявителя. Это делает их наиболее надежными и безопасными среди всех типов SSL-сертификатов."
844,Everlast,"Everlast — это известный магазин, специализирующийся на спортивной экипировке и одежде. Он предлагает широкий ассортимент товаров для фитнеса, единоборств, бокса и других видов активного образа жизни. Название «Everlast» означает «вечный» или «несломленный», что отражает философию качества и прочности товаров. Основанный в Нью-Йорке, США, более ста лет назад, магазин Everlast стал символом качественной спортивной экипировки, часто используемой профессиональными спортсменами и любителями спорта по всему миру. Их продукция включает в себя боксерские перчатки, шлемы, бандажи, одежду, обувь и другие аксессуары для тренировок и соревнований."
845,Evil Corp,"Evil Corp называют самой вредоносной и самой наглой группировкой среди киберпреступников. За сведения о ее членах американское правительство назначило награду в $5 млн., а СМИ обсуждают слухи об их возможных связях с российскими спецслужбами."
846,Evilginx,"Evilginx - это инструмент для фишинга и атаки «Man-in-the-Middle» (MITM), разработанный для кражи учётных данных и сеансовых cookie пользователей. С его помощью злоумышленники могут создавать поддельные веб-сайты, которые выглядят как настоящие, и перехватывать введенные пользователями данные, такие как логины и пароли. Evilginx способен обойти множество средств защиты, включая двухфакторную аутентификацию (2FA), благодаря своей способности перехватывать и повторно использовать сеансовые cookie. Этот инструмент может быть использован для проведения целенаправленных атак на пользователей в сети, и поэтому он представляет угрозу для безопасности в сети Интернет."
847,EvilProxy,"EvilProxy — это сервис для проведения фишинговых атак, который функционирует как фишинг как услуга (Phishing-as-a-Service, PaaS). Сервис использует обратные прокси-серверы для перехвата и передачи данных пользователя между целью атаки и подлинным онлайн-сервисом. EvilProxy способен собирать куки сессии, что может быть использовано для обхода механизмов многократной аутентификации (MFA), предоставляя злоумышленникам полный доступ к аккаунтам жертв."
848,Exascale,"Экзаскейл-вычисления (Exascale computing) относятся к вычислительным системам, способным выполнять как минимум один экзафлопс, то есть один квинтиллион операций с плавающей запятой в секунду. Экзаскейл-вычисления представляют собой значительное улучшение в способности обрабатывать огромные объемы данных и проводить сложные симуляции, что имеет огромное значение в таких областях, как климатические исследования, биомедицина, материаловедение, ядерная физика и т.д. Эти системы также могут играть ключевую роль в развитии искусственного интеллекта и глубокого обучения, обрабатывая и анализируя беспрецедентные объёмы данных."
849,Exbyte,"Exbyte — это инструмент для эксфильтрации на основе языка Go, который загружает украденные файлы непосредственно в облачное хранилище Mega. Инструмент разработали участники группировки BlackByte."
850,Excel,"Microsoft Excel — это популярное программное обеспечение для работы с таблицами, входящее в состав Microsoft Office. Оно позволяет пользователям выполнять широкий спектр вычислений и аналитических операций с данными. В Excel можно формировать таблицы, использовать формулы для расчетов, строить графики и диаграммы, а также анализировать большие объёмы данных с помощью различных инструментов, таких как фильтры и сводные таблицы."
851,Exchange,"Microsoft Exchange — это сервер электронной почты, работающий в операционных системах Windows Server. Exchange работает с почтовыми веб-клиентами, такими как Microsoft Outlook , которые могут подключаться к электронной почте из различных источников и управлять ею. На самом деле Outlook действительно оптимизирован для Exchange и лучше всего работает только при использовании учетной записи Exchange."
852,Exchange Online,"Exchange Online - это онлайн-сервис, предоставляемый компанией Microsoft, который позволяет организациям использовать электронную почту, календари, контакты и другие функции, связанные с управлением электронной почтой, без необходимости устанавливать и настраивать собственный сервер Exchange. Exchange Online является частью облачного сервиса Microsoft 365 и позволяет пользователям работать в облаке, обеспечивая доступ к своим электронным сообщениям и другим данным из любого места и устройства с подключением к Интернету."
853,EXE,"EXE-файлы в операционной системе Windows представляют собой исполняемые файлы, содержащие код программы, который компьютер может выполнить. Помимо кода в EXE-контейнере также содержится информация о версии Windows, битности программы, дополнительные ресурсы, такие как изображения и звуки, а также прочие данные и переменные, необходимые для работы программы. Конечный пользователь может запустить EXE-файл, что приведет к выполнению кода программы и запуску соответствующего приложения или процесса."
854,Exim,"Exim (EXperimental Internet Mailer) — это популярный программный продукт с открытым исходным кодом, предназначенный для передачи электронной почты. Он действует в качестве MTA (Mail Transfer Agent) и обычно используется на UNIX-подобных операционных системах. Exim был создан на Университете Кембриджа в качестве альтернативы другим системам передачи почты и с тех пор получил широкое распространение по всему миру."
855,Exit scam,"Exit scam – это мошенническая схема, при которой владельцы платформы (часто интернет-магазина, инвестиционного проекта или криптовалютного рынка) внезапно прекращают свою деятельность и исчезают с собранными у пользователей средствами. Обычно такие схемы используются на рынках даркнета, где после накопления значительных сумм в криптовалютах от продаж товаров или услуг, администрация сайта закрывает доступ к выводу средств, прекращает коммуникацию и присваивает деньги пользователей."
856,ExMatter,"Инструмент эксфильтрации, написанный на .NET, используемый по крайней мере одним оператором программы-вымогателя BlackMatter."
857,Exodus,"Exodus - это криптокошелек, который позволяет пользователям хранить, управлять и обменивать различные криптовалюты, такие как Bitcoin, Ethereum, Litecoin и другие. Он был выпущен в 2015 году и доступен для скачивания на компьютеры с операционными системами Windows, Mac и Linux, а также на мобильные устройства под управлением Android и iOS."
